Vakances Nr,Aktualizācijas datums,Iestādes reģistrācijas numurs,Vakances nosaukums,Vakances kategorija,Alga no,Alga līdz,Slodzes tips,Darba laika veids,Darba stundas nedēļā,Pieteikšanās termiņš,Attēls,Vieta,Vakances paplašināts apraksts
220131-131,2022-04-01,90000027165,IESLODZĪJUMA VIETAS APSARGS,Valsts pārvalde,959.000,994.000,Viena vesela slodze,Summētais darba laiks,"",2022-06-30,"","Dzirnavu iela 32, Valmiermuiža, Valmieras pag., Valmieras nov.",https://cvvp.nva.gov.lv/#/pub/vakances/315099823
220421-96,2022-04-21,90000017078,VECĀKAIS INSPEKTORS,Valsts pārvalde,835.000,1190.000,Viena vesela slodze,"","",2022-05-05,"","Rūpniecības iela 23, Rīga",https://cvvp.nva.gov.lv/#/pub/vakances/320181424
220412-170,2022-04-12,90000017078,VECĀKAIS INSPEKTORS,Valsts pārvalde,835.000,1190.000,"","","",2022-05-09,"","Rūpniecības iela 23, Rīga",https://cvvp.nva.gov.lv/#/pub/vakances/319686251
220422-50,2022-04-22,90000017078,VECĀKAIS EKSPERTS,Lauksaimniecība / Vide,835.000,1190.000,Viena vesela slodze,Normālais darba laiks,"",2022-05-09,"","Leona Paegles iela 13, Valmiera, Valmieras nov.",https://cvvp.nva.gov.lv/#/pub/vakances/320282141
220419-180,2022-04-19,90000017078,VECĀKAIS EKSPERTS,Valsts pārvalde,835.000,1190.000,"","","",2022-05-05,"","Jaunā ostmala 2A, Liepāja",https://cvvp.nva.gov.lv/#/pub/vakances/319991486
220419-285,2022-05-02,90000017078,VECĀKAIS INSPEKTORS,Valsts pārvalde,835.000,1100.000,Viena vesela slodze,"","",2022-05-11,"","Kazarmes iela 17A, Jelgava",https://cvvp.nva.gov.lv/#/pub/vakances/320024171
220428-50,2022-05-02,90000017078,VECĀKAIS INSPEKTORS,Lauksaimniecība / Vide,835.000,1100.000,Viena vesela slodze,Normālais darba laiks,"",2022-05-09,"","Leona Paegles iela 13, Valmiera, Valmieras nov.",https://cvvp.nva.gov.lv/#/pub/vakances/320745802
220411-270,2022-04-28,40900035103,VECĀKAIS EKSPERTS,Valsts pārvalde,835.000,1190.000,Viena vesela slodze,Normālais darba laiks,"",2022-05-08,"","Smiltaiņi, Iecava, Bauskas nov.",https://cvvp.nva.gov.lv/#/pub/vakances/319595369
220411-271,2022-04-13,40900035103,NAMDARIS,Veselības aprūpe / Sociālā aprūpe,500.000,688.000,Viena vesela slodze,Normālais darba laiks,"",2022-05-08,"","Pansionāts ""Ropaži"", Ropaži, Ropažu pag., Ropažu nov.",https://cvvp.nva.gov.lv/#/pub/vakances/319595385
220411-272,2022-04-28,40900035103,MĀSAS PALĪGS,Veselības aprūpe / Sociālā aprūpe,552.000,802.000,Viena vesela slodze,Normālais darba laiks,"",2022-05-08,"","Smiltaiņi, Iecava, Bauskas nov.",https://cvvp.nva.gov.lv/#/pub/vakances/319595392
220411-273,2022-04-12,40900035103,MĀSA (MEDICĪNAS MĀSA),Veselības aprūpe / Sociālā aprūpe,675.000,996.000,Viena vesela slodze,Summētais darba laiks,"",2022-05-15,"","Ķīši, Jaunsātu pag., Tukuma nov.",https://cvvp.nva.gov.lv/#/pub/vakances/319595400
220411-274,2022-04-28,40900035103,SANTEHNIĶIS,Veselības aprūpe / Sociālā aprūpe,500.000,571.000,Nepilna slodze,Normālais darba laiks,"",2022-05-08,"","Smiltaiņi, Iecava, Bauskas nov.",https://cvvp.nva.gov.lv/#/pub/vakances/319595410
220421-292,2022-04-22,40003356530,CEĻU MEISTARS,Būvniecība / Nekustamais īpašums,1260.000,1260.000,Viena vesela slodze,Normālais darba laiks,"",2022-05-13,"","Daugavpils,darba vieta Muitas iela 20, Muitas, Kalkūnes pag., Augšdaugavas nov.",https://cvvp.nva.gov.lv/#/pub/vakances/320239012
220411-277,2022-05-02,40900035103,NAMDARIS,Veselības aprūpe / Sociālā aprūpe,250.000,344.000,Nepilna slodze,Nepilnais darba laiks,"",2022-05-15,"","Lielbērze, Lielbērze, Auru pag., Dobeles nov.",https://cvvp.nva.gov.lv/#/pub/vakances/319595430
220426-95,2022-04-26,40003356530,MEHĀNIĶIS (INŽENIERIS),Būvniecība / Nekustamais īpašums,1080.000,1300.000,"","","",2022-05-16,"","Vidzemes iela 4, Balvi, Balvu nov.",https://cvvp.nva.gov.lv/#/pub/vakances/320533742
220425-239,2022-04-25,40003356530,EKSKAVATORA VADĪTĀJS,Būvniecība / Nekustamais īpašums,780.000,780.000,"","","",2022-05-06,"","Indras iela 13, Krāslava, Krāslavas nov.",https://cvvp.nva.gov.lv/#/pub/vakances/320467529
220427-262,2022-04-28,40900035103,SAIMNIECĪBAS STRUKTŪRVIENĪBAS VADĪTĀJS /DIREKTORS /PRIEKŠNIEKS,Veselības aprūpe / Sociālā aprūpe,730.000,901.000,Viena vesela slodze,Normālais darba laiks,"",2022-05-08,"","Smiltaiņi, Iecava, Bauskas nov.",https://cvvp.nva.gov.lv/#/pub/vakances/320706895
